"journal_id","name","publisher","homepage","impact"
"101","Corrections: Policy, Practice and Research","Taylor and Francis","http://www.tandfonline.com/loi/ucor20","0"
"102","Women and Criminal Justice","Taylor and Francis","http://www.tandfonline.com/toc/wwcj20/current","10"
"104","Journal of Human Trafficking","Taylor and Francis","http://www.tandfonline.com/toc/uhmt20/current","0"
"105","Journal of School Violence","Taylor and Francis","http://www.tandfonline.com/toc/wjsv20/current","20"
"106","Justice System Journal","Taylor and Francis","http://www.tandfonline.com/toc/ujsj20/current","6"
"107","Health and Justice","Springer","http://healthandjusticejournal.springeropen.com/","0"
"108","European Journal of Crime, Criminal Law and Criminal Justice","Brill","https://brill.com/view/journals/eccl/eccl-overview.xml","6"
"118","European Law Enforcement Research Bulletin","European Union Agency for Law Enforcement Training (CEPOL)","https://bulletin.cepol.europa.eu/","0"
"109","Dignity: A Journal on Sexual Exploitation and Violence","University of Rhode Island","http://digitalcommons.uri.edu/dignity/","0"
"112","European Journal of Policing Studies","Maklu-Online","http://www.maklu-online.eu/en/crime/ejps/","0"
"110","Child Abuse and Neglect","Elsevier","https://www.journals.elsevier.com/child-abuse-and-neglect","39"
"111","Journal of Child Sexual Abuse","Taylor and Francis","http://www.tandfonline.com/toc/wcsa20/current","17"
"113","Cambridge Journal of Evidence-Based Policing","Springer","http://link.springer.com/journal/41887","0"
"121","Safer Communities","Emerald Insight","https://www.emeraldinsight.com/loi/sc","0"
"115","International Journal of Police Science & Management","Sage","http://journals.sagepub.com/home/psm","11"
"114","Journal of Gender-Based Violence","Policy Press","http://www.ingentaconnect.com/content/tpp/jgbv","0"
"116","Journal of Criminological Research, Policy and Practice","Emerald Insight","http://www.emeraldinsight.com/loi/jcrpp","0"
"122","Justice Evaluation Journal","Taylor and Francis","https://www.tandfonline.com/loi/rjej20","0"
"123","European Journal of Probation","Sage","https://journals.sagepub.com/home/ejp","0"
"117","Annual Review of Criminology","Annual Reviews","http://www.annualreviews.org/journal/criminol","0"
"119","Violence Against Women","Sage","http://journals.sagepub.com/home/vaw","0"
